"gene_id","gene_symbol","entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000059377.19","TBXAS1","6916",64.8534758377311,-1.38450776986667,0.310296561123495,-5.03160734600113,4.86384644975741e-07,4.31047769129066e-06
"ENSG00000114353.17","GNAI2","2771",2740.83529064439,-0.253884659604022,0.051552160133118,-5.02857575577552,4.9413629180616e-07,4.37692577734414e-06
"ENSG00000178425.14","NT5DC1","221294",3312.27099208681,0.236502414530278,0.0478772682648271,5.02823783202773,4.95007692709339e-07,4.38239356697395e-06
"ENSG00000084774.14","CAD","790",5847.04921505214,0.278448014506262,0.0567651878748632,5.02675365549482,4.98852505073449e-07,4.41416639430308e-06
"ENSG00000141858.12","SAMD1","90378",4119.9649484403,0.30582744533155,0.0626593697544894,5.02617832441441,5.00350653186433e-07,4.42515249479653e-06
"ENSG00000111110.12","PPM1H","57460",4091.17191225858,-0.255971861390928,0.052040658265034,-5.0246000187683,5.04482834603018e-07,4.4594110535949e-06
"ENSG00000196465.11","MYL6B","140465",1864.20317366542,-0.289603099544237,0.0592240105910241,-5.0235580934286,5.07228725048977e-07,4.48138657387021e-06
"ENSG00000165782.11","PIP4P1","90809",2053.71394141121,-0.282160302926,0.0576643127667194,-5.01857310510166,5.20566836493086e-07,4.59687437898605e-06
"ENSG00000184209.15","SNRNP35","11066",1308.64911524743,-0.401842837483037,0.0839284837816041,-5.01825101698299,5.21440167523583e-07,4.60222985113189e-06
"ENSG00000012983.12","MAP4K5","11183",2756.35836027281,0.307856734161091,0.0630666402019666,5.01813733991204,5.21748736229974e-07,4.60259780308038e-06
"ENSG00000197885.11","NKIRAS1","28512",521.779605421785,-0.497256376980639,0.105543437552942,-5.01638097629802,5.26538701332064e-07,4.64247773168342e-06
"ENSG00000197496.6","SLC2A10","81031",1595.16832614131,0.332120524974819,0.0685241989764789,5.01546031346405,5.29066449120462e-07,4.66238118627056e-06
"ENSG00000154359.13","LONRF1","91694",1365.2523034081,-0.330328271523156,0.0681608066752437,-5.01533597534522,5.29408724140795e-07,4.66301473775901e-06
"ENSG00000108773.11","KAT2A","2648",2578.93653993609,0.256777186317393,0.0523061854935913,5.01471058686096,5.31133518957108e-07,4.67581861558667e-06
"ENSG00000114770.17","ABCC5","10057",7352.36984577514,-0.200954881889448,0.0405950326680104,-5.01441701136294,5.31945055229577e-07,4.68057368494351e-06
"ENSG00000144591.20","GMPPA","29926",2196.02923992374,0.297856902462686,0.061107337161384,5.01383032371463,5.3357043055527e-07,4.69248120619897e-06
"ENSG00000115919.15","KYNU","8942",3324.52453683803,0.276834862476284,0.0565682438924418,5.0122732011675,5.37907579702083e-07,4.728213108839e-06
"ENSG00000213619.11","NDUFS3","4722",4201.78962403963,-0.224251177208848,0.0455021616414031,-5.01181516631415,5.39189829215159e-07,4.73706968652299e-06
"ENSG00000118777.12","ABCG2","9429",1327.80554002043,-0.386178949137591,0.0805732822132958,-5.01073678351661,5.42220365012003e-07,4.7612690504058e-06
"ENSG00000160606.11","TLCD1","116238",551.932786559622,0.518216717199366,0.110445911744511,5.01022707223894,5.43658495583119e-07,4.77146789558599e-06
"ENSG00000137166.18","FOXP4","116113",3888.98058853103,0.228298946747717,0.0463736289742047,5.00655257952953,5.54135297956378e-07,4.86094473476892e-06
"ENSG00000249158.7","PCDHA11","56138",322.770110573833,0.635234663263468,0.137549208682971,5.00609083671878,5.55465517058206e-07,4.87013640426325e-06
"ENSG00000119711.13","ALDH6A1","4329",1715.43957833797,0.356580155025879,0.07404034265136,5.00585840079184,5.56136298203423e-07,4.87353993842289e-06
"ENSG00000160446.19","ZDHHC12","84885",1974.26648772524,-0.343492040238719,0.0711943396791755,-5.00572900318346,5.56510061921601e-07,4.87433851086842e-06
"ENSG00000127838.15","PNKD","25953",3233.06898002201,0.25623399873499,0.0523171226719122,5.00377939559723,5.621708823298e-07,4.92142083079174e-06
"ENSG00000117335.21","CD46","4179",4739.82309169244,-0.233396698531212,0.0474911960375064,-5.00279227588166,5.65058181868097e-07,4.94418741983623e-06
"ENSG00000108179.14","PPIF","10105",5371.05073567997,0.213536373001898,0.0433212599936399,5.00217641816111,5.66866786178543e-07,4.95749725884135e-06
"ENSG00000178826.11","TMEM139","135932",159.59646184478,-0.875998975929722,0.194182475155567,-5.00185034820781,5.67826622055149e-07,4.9633745179742e-06
"ENSG00000204439.4","C6orf47","57827",1380.3627691592,-0.342541298843731,0.0710441233400274,-5.00080236795536,5.70922131133743e-07,4.98790429256967e-06
"ENSG00000107968.10","MAP3K8","1326",363.718785446702,0.672610002628738,0.146485344830638,5.00013691320349,5.72896180009409e-07,5.00261646604672e-06
"ENSG00000187634.13","SAMD11","148398",213.815883621647,0.803201864421927,0.17714030992723,4.99891571681679,5.76535948332679e-07,5.03185170290758e-06
"ENSG00000105655.19","ISYNA1","51477",4899.03268908172,0.282778794752005,0.0581973529716107,4.99783774408225,5.79767355107258e-07,5.05749509670196e-06
"ENSG00000142871.18","CCN1","3491",402.698360197915,-0.577297908344145,0.124506331543895,-4.99619740740602,5.84718065488701e-07,5.0981030118393e-06
"ENSG00000119912.18","IDE","3416",3799.21169607301,0.274744349544584,0.0563582052301387,4.9946533684792,5.89415355948364e-07,5.13646145966927e-06
"ENSG00000158615.10","PPP1R15B","84919",5057.1223262053,-0.211498901190067,0.0429817226322822,-4.99177032508209,5.9828373195851e-07,5.21111173805882e-06
"ENSG00000129559.13","NEDD8","4738",1346.03373560873,-0.400829934933832,0.0841963289442034,-4.99135829388245,5.99561616541751e-07,5.21960607717266e-06
"ENSG00000234678.2",NA,NA,288.711685000436,0.669927702564777,0.146215782911236,4.99083500608534,6.01188348239321e-07,5.23112727231854e-06
"ENSG00000160959.8","LRRC14","9684",1681.2294945623,0.319093419490447,0.0660591289833061,4.98766932109073,6.11120528989669e-07,5.31486870547445e-06
"ENSG00000286388.1",NA,NA,155.51496798759,-0.92206485516545,0.206282486558422,-4.97581321051473,6.49742799863092e-07,5.64791548711637e-06
"ENSG00000198736.13","MSRB1","51734",3005.79776485299,0.276594185066728,0.0570056586046033,4.97497238351222,6.52569425987105e-07,5.66962837308494e-06
"ENSG00000249859.14","PVT1","5820",3338.2544202254,-0.316363854487913,0.0656813256106736,-4.97312720227722,6.58814009219967e-07,5.72100020292425e-06
"ENSG00000111181.13","SLC6A12","6539",20.9775349976087,-2.88436753249677,0.656134319823515,-4.97267433245434,6.60355419595443e-07,5.73149953011726e-06
"ENSG00000125520.14","SLC2A4RG","56731",2903.02884598869,-0.278457214748546,0.0574546278365348,-4.9711435622953,6.65591395318084e-07,5.77403883483686e-06
"ENSG00000197822.12","OCLN","100506658",2438.82579190496,0.28772934516264,0.0594430128099291,4.96894236703147,6.73190732036149e-07,5.83702733267744e-06
"ENSG00000141404.17","GNAL","2774",196.15127561403,0.807612262416776,0.179515566452669,4.96840791304288,6.75048440144868e-07,5.85019366770773e-06
"ENSG00000143556.9","S100A7","6278",10.0542151607762,7.02311222777457,2.62128025300966,4.96600665171509,6.83456114919205e-07,5.92008244997318e-06
"ENSG00000234127.9","TRIM26","7726",4626.84477119096,-0.233225779084394,0.0478451214455114,-4.96398965041388,6.90596250738924e-07,5.97892717883709e-06
"ENSG00000242265.6","PEG10","23089",87.4220614919892,1.27652566318911,0.290396092781949,4.96296281263555,6.94258787659202e-07,6.00537558905029e-06
"ENSG00000254206.6","NPIPB11","728888",193.81489192523,0.774107508268111,0.17168798572904,4.96293797437942,6.94347612464704e-07,6.00537558905029e-06
"ENSG00000237640.1",NA,NA,23.7270486661177,2.45026505266827,0.55986154088754,4.96199100616703,6.97742271846074e-07,6.03171088734706e-06
"ENSG00000182372.10","CLN8","2055",988.846405602854,0.424986170702722,0.0901841257631045,4.9616388744165,6.99008655971555e-07,6.03963090224721e-06
"ENSG00000187605.16","TET3","200424",3149.87074248238,-0.263118261989895,0.0543168254073688,-4.95885847619435,7.09085977548613e-07,6.12363383515442e-06
"ENSG00000103811.18","CTSH","1512",1445.53515944221,-0.370231399755887,0.0779210850608698,-4.95705081969913,7.15712608498709e-07,6.17776759067505e-06
"ENSG00000118600.13","RXYLT1","10329",1730.65405236949,0.292002634884192,0.060578540651143,4.95628744440266,7.18528925029017e-07,6.19897440772908e-06
"ENSG00000134490.14","TMEM241","85019",729.297753622239,-0.474542839510476,0.101781524067406,-4.95414586660875,7.26486947209676e-07,6.26449694578904e-06
"ENSG00000133794.20","BMAL1","406",703.870460290917,0.461448539013225,0.0987230489008526,4.95374130954945,7.27999771565098e-07,6.27440482779195e-06
"ENSG00000184349.14","EFNA5","1946",671.702282620092,-0.441907368221141,0.0942854262820381,-4.95339118697256,7.29311490015119e-07,6.28257040799238e-06
"ENSG00000082898.19","XPO1","7514",14960.4164678421,0.214873402922911,0.0438482931990499,4.95271524680502,7.31850313686486e-07,6.30129331494615e-06
"ENSG00000155324.10","GRAMD2B","65983",578.078231165103,-0.512550561422427,0.110639797816374,-4.95237743682419,7.33122313037603e-07,6.30909551429466e-06
"ENSG00000109790.18","KLHL5","51088",1442.72770540378,0.319754050061297,0.0667397696238204,4.95062366714949,7.39760314489516e-07,6.36304557789835e-06
"ENSG00000124357.13","NAGK","55577",2107.78197150266,-0.31352788798715,0.0654254501098461,-4.94921462096475,7.45135453273287e-07,6.40608475929766e-06
"ENSG00000132424.17","PNISR","25957",3604.45353523519,0.301937900942497,0.0628729701084278,4.94657789889687,7.5529510144391e-07,6.49019398081797e-06
"ENSG00000278175.6","GLIDR","389741",563.14472782914,0.543139196962926,0.117966580850889,4.94418378879029,7.64635421891534e-07,6.56718251291903e-06
"ENSG00000187514.17","PTMA","5757",57902.1835238169,-0.153643128958646,0.031340335072234,-4.94223799836172,7.72308548838399e-07,6.62978259495621e-06
"ENSG00000086619.15","ERO1B","56605",130.772062238019,0.98381995437922,0.222654718990015,4.94079350891716,7.78052734782756e-07,6.67576988261862e-06
"ENSG00000090905.19","TNRC6A","27327",3084.95207625564,0.323868166120195,0.0678582118522223,4.93799165732558,7.89312184994744e-07,6.76900941940296e-06
"ENSG00000137203.15","TFAP2A","7020",663.493317943143,-0.558287751890004,0.121776169985819,-4.93642002714441,7.95696436524771e-07,6.82036816317406e-06
"ENSG00000001036.14","FUCA2","2519",7916.0924471806,-0.209083371718148,0.0430027994978523,-4.93477226613088,8.02443346317683e-07,6.87478288653491e-06
"ENSG00000264364.3","DYNLL2","140735",11802.0370008288,-0.201373376893454,0.0414362429140991,-4.93445810267052,8.03735956974324e-07,6.8824380903571e-06
"ENSG00000169583.13","CLIC3","9022",1166.40139469014,-0.37295086074908,0.0789764175335777,-4.93240010988559,8.12253203255446e-07,6.95191997188259e-06
"ENSG00000113739.11","STC2","8614",10258.8631814156,-0.178873867540423,0.0366328434729486,-4.93209098500076,8.13540039010931e-07,6.95947991705482e-06
"ENSG00000159128.16","IFNGR2","3460",742.472244808632,0.413960175606233,0.0882740084821211,4.93196689612989,8.14057152566919e-07,6.96045099314283e-06
"ENSG00000101745.17","ANKRD12","23253",1453.95742570574,-0.386659088465738,0.0820732877750518,-4.93146841619591,8.16137652013718e-07,6.97478193589127e-06
"ENSG00000078140.14","UBE2K","3093",7188.54560983931,-0.185807375648281,0.0381182180312603,-4.93110967833535,8.1763807963128e-07,6.98414379461171e-06
"ENSG00000138002.16","IFT172","26160",1030.56551061817,0.417787966702691,0.0891984225593983,4.93099052960419,8.18137008835115e-07,6.9849459675101e-06
"ENSG00000103067.14","ESRP2","80004",5799.95645118891,-0.211088092828549,0.0434780339618678,-4.92974435579539,8.23372899977261e-07,7.02616973429384e-06
"ENSG00000105559.13","PLEKHA4","57664",38.2179097675417,2.09462750113909,0.48650768434229,4.92891338138124,8.26882219162954e-07,7.05262648451251e-06
"ENSG00000175793.12","SFN","2810",6189.53834712313,-0.227571034156094,0.0469923817803113,-4.92867283071855,8.27900783338347e-07,7.05782348465305e-06
